species,lon,lat,year,record,coordinate_uncertainty,institution,database
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.77,48.09,2006,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.9,46.73,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.4,47.94,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.75,45.31,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.7,44.19,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.09,46.53,1995,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.35,46.23,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.26,48.04,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.07,48.05,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.11,48.08,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.39,47.99,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.44,45.17,2005,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.73,46.37,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.76,48.69,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.9,46.73,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.29,48.15,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.09,46.53,1995,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.26,48.04,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.4,47.94,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.11,48.08,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.96,45.84,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.35,46.23,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.76,48.69,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.07,48.05,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.76,48.69,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.44,45.17,2005,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.29,48.15,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.91,41.03,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.77,48.09,2006,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.02,41.02,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.75,45.31,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.94,50.15,1989,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.76,48.69,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.96,45.84,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.7,44.19,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.04,41.64,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.39,47.99,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.91,41.03,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.73,46.37,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.02,41.02,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.04,41.64,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.94,50.15,1989,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.7,44.19,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.4,47.94,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.44,45.17,2005,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.73,46.37,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.09,46.53,1995,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.26,48.04,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.35,46.23,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.96,45.84,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.29,48.15,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.11,48.08,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.39,47.99,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.07,48.05,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.04,41.64,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.9,46.73,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.91,41.03,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.77,48.09,2006,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.75,45.31,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.02,41.02,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.76,48.69,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.26,48.04,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.94,50.15,1989,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.4,47.94,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.44,45.17,2005,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.35,46.23,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.39,47.99,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.7,44.19,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.77,48.09,2006,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.9,46.73,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.75,45.31,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.07,48.05,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.76,48.69,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.11,48.08,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.09,46.53,1995,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.76,48.69,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.29,48.15,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.94,50.15,1989,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.96,45.84,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.02,41.02,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.91,41.03,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.04,41.64,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.8,37.76,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.78,36.75,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.4,47.94,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.07,48.05,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.75,45.31,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.39,47.99,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.02,41.02,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.11,48.08,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.35,46.23,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-119.95,44.46,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.43,50.04,2000,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.9,46.73,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.04,41.64,2007,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.7,43.73,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.09,46.53,1995,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.44,45.17,2005,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.7,44.19,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.73,46.37,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.96,45.84,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.26,48.04,2001,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-122.29,48.15,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.77,48.09,2006,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.91,41.03,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.87,43.48,1997,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-123.87,43.9,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.3,39.43,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-118.41,36.77,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-121.33,43.71,2010,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-124.96,50.12,2008,unknown,NA,http://www.ebi.ac.uk/,Bison
"Tamiasciurus douglasii (Bachman, 1839)",-120.55,39.31,2009,unknown,NA,http://www.ebi.ac.uk/,Bison
